FirstName|LastName|Occupation|HasEmployedAsLobbyistOnly|EmploymentExplanation|SubmittedDate|Year|Quarter|DisclosureXML
A. Richard|Heffron|Sr. VP, Govt Affair|0|Sr VP, administration, legal, supervisory|4/15/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>124</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>124</EmployerId><LegalName>DELAWARE STATE CHAMBER OF COMMERCE</LegalName><AddressLine1>P.O. Box 671</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>198990671</ZipCode></Employer><EmployerId>124</EmployerId><FoodRefreshments>933.21</FoodRefreshments><Entertainment>35</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Alan|Stachura|Senior Manager|0|Other responsibilities|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Albert|Carter|Lobbyist|1|NA|4/24/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Aleks|Casper|State Director|0|I am the State Director for the Delaware Chapter of the March of Dimes and interact with Legislators and advocate for the mission of the March of Dimes as part of my job responsibilities.  I am an employee of the March of Dimes and not a lobbyist.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Jacobsohn|Director, Education|0|I work for a trade association where my role also includes developing educational programs,planning meetings, and developing research bulletins.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Alice|Hoffman|Lawyer|0|I am a member of the Delaware Bar who acts on behalf of clients in certain legislative matters.|4/12/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>876</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>876</EmployerId><LegalName>Christina River, LLC</LegalName><AddressLine1>30 Commerce Street</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>876</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Allen|Huelsenbeck|Retired|0|Retired|4/8/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>263</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>263</EmployerId><LegalName>WILMINGTON POLICE/FIRE PENSION TASK FORCE</LegalName><AddressLine1>P.O. Box 310</AddressLine1><AddressLine2>NA</AddressLine2><City>Nassau</City><State>Delaware</State><ZipCode>19969</ZipCode></Employer><EmployerId>263</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Amelia|Auner|Social Worker|0|Job responsibilities cover a wide variety of areas, including advocacy.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>221</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>221</EmployerId><LegalName>PLANNED PARENTHOOD ADVOCACY FUND OF DELAWARE, INC.</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>221</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>222</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>222</EmployerId><LegalName>PLANNED PARENTHOOD OF DELAWARE</LegalName><AddressLine1>625 Shipley St.</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>222</EmployerId><FoodRefreshments>40</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Amy|Dempster|Sr. Manager|0|Sr. Manager, State Government Affairs, Mid-Atlantic Region (job entails more than solely lobbying)|4/10/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Andrew|Manus|Director, Conservation Programs|0|Lobbying is part of one of my job's many duties at the Delaware Chapter of the Nature Conservancy.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>526</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>526</EmployerId><LegalName>The Nature Conservancy</LegalName><AddressLine1>100 West 10th St., Ste 1107</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>526</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Andrew D.|Stayton|Government Affairs|0|Sole Proprietor|4/17/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>119</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>119</EmployerId><LegalName>DELAWARE SOFT DRINK ASSOCIATION</LegalName><AddressLine1>3 Church Circle #201</AddressLine1><AddressLine2>NA</AddressLine2><City>Annapolis</City><State>Maryland</State><ZipCode>21401</ZipCode></Employer><EmployerId>119</EmployerId><FoodRefreshments>18.5</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Andrew Paul|Taylor|Lawyer|0|I am an attorney|4/17/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Ann|Nolan|Lobbyist|1|NA|4/30/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Anthony|Severoni|Senior Director, State Government Affairs|0|I am employed by Sunovion Pharmaceuticals Inc, a pharmaceutical company, I am compensated for my efforts in making sure patients and providers have access to the right Sunovion  therapeutic product for the treatment of the appropriate clinical diagnosis. Delaware is one of five states that I have responsibility for as a registered lobbyist.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Anthony|Delcollo|Attorney|0|I am an interested citizen who recently became a leader in a new organization, and all of my activities are entirely pro-bono/volunteer. My actual job is as an attorney in a firm. |4/9/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1187</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1187</EmployerId><LegalName>Delaware Association of Second Amendment Lawyers</LegalName><AddressLine1>P.O. Box 1250</AddressLine1><AddressLine2/><City>Dover</City><State>Delaware</State><ZipCode>19903</ZipCode></Employer><EmployerId>1187</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Art|Greenwood|Financial services professional|1|NA|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Barbara|Feldman|Investment Banker|0|I represent Merrill Lynch & Co. as a bond underwriter to the Delaware State Housing Authority.|4/5/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Beverly M.|Sisson|Legislative Liaison|0|Publish insurance laws; regulatory liaison for corporations and insurance industry|5/8/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>256</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>256</EmployerId><LegalName>Verizon</LegalName><AddressLine1>901 Tatnall Street</AddressLine1><AddressLine2>N</AddressLine2><City>Wilmingnton</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>256</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>441</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>441</EmployerId><LegalName>Delaware Association of Insurance Agents &amp; Brokers</LegalName><AddressLine1>5050 Ritter Road</AddressLine1><AddressLine2>NA</AddressLine2><City>Mechanicsburg</City><State>Pennsylvania</State><ZipCode>17055</ZipCode></Employer><EmployerId>441</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>530</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>530</EmployerId><LegalName>BHM Insurance Services &amp; Government Relations, Inc.</LegalName><AddressLine1>306 South State Street</AddressLine1><AddressLine2>NA</AddressLine2><City>Dover</City><State>Delaware</State><ZipCode>19901</ZipCode></Employer><EmployerId>530</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>614</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>614</EmployerId><LegalName>National Association of Insurance &amp; Financial Advisors - Delaware</LegalName><AddressLine1>P.O. Box 1635</AddressLine1><AddressLine2>NA</AddressLine2><City>Hockessin</City><State>Delaware</State><ZipCode>19707</ZipCode></Employer><EmployerId>614</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>818</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>818</EmployerId><LegalName>Adkins, Inc.</LegalName><AddressLine1>37232 Lighhouse Road</AddressLine1><AddressLine2>NA</AddressLine2><City>Selbyville</City><State>Delaware</State><ZipCode>19975</ZipCode></Employer><EmployerId>818</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>940</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>940</EmployerId><LegalName>American Council of Life Insurers</LegalName><AddressLine1>101 Consititution Avenue NW</AddressLine1><AddressLine2>NA</AddressLine2><City>Washington</City><State>District of Columbia</State><ZipCode>20001</ZipCode></Employer><EmployerId>940</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>1096</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1096</EmployerId><LegalName>Federal Home Loan  Bank of Pittsburgh</LegalName><AddressLine1>601 Grant Street</AddressLine1><AddressLine2/><City>Pittsburgh</City><State>Pennsylvania</State><ZipCode>15219</ZipCode></Employer><EmployerId>1096</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure><LobsEmployerExpenditure><ItemId>1097</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1097</EmployerId><LegalName>HIghway One</LegalName><AddressLine1>Rusty Rudder</AddressLine1><AddressLine2>113 Dickinson Street</AddressLine2><City>Dewey Beach</City><State>Delaware</State><ZipCode>19971</ZipCode></Employer><EmployerId>1097</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Bill|Doolittle|Estimator|0|volunteer|4/22/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Bonnie Lynne|Metz|V.P. of Government Affairs|0|Responsibilities include government affairs and community/ external affairs|4/23/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>255</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>255</EmployerId><LegalName>VERIZON COMMUNICATIONS</LegalName><AddressLine1>901 Tatnall Street</AddressLine1><AddressLine2>2nd Floor</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>255</EmployerId><FoodRefreshments>17</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Bonny|Anderson|government affairs consultant|0|NA  i am also a nonprofit consultant.|4/7/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Brendan|Peppard|VP, State Government Affairs|1|NA|4/16/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Brenna|Goggin|Environmental Advocate|0|Provides leadership for the Delaware Nature Society’s environmental advocacy efforts and is the primary voice of the organization to elected and appointed officials, reporters and other news media, industry, local/national environmental groups, and other organizations. Develops the Society’s legislative agenda and formulates positions and takes action, including public testimony, on key environmental issues.  Cultivates the Society’s grass-roots citizen activism efforts.  Promotes membership, volunteerism, marketing and provides information necessary for securing funding sources.|4/8/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1184</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1184</EmployerId><LegalName>DELAWARE NATURE SOCIETY</LegalName><AddressLine1>P.O. Box 700</AddressLine1><AddressLine2>NA</AddressLine2><City>Hockessin</City><State>Delaware</State><ZipCode>19707</ZipCode></Employer><EmployerId>1184</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Brian|Posey|Associate State Director, Advocacy|0|I provide training and support to volunteer committees of people who engage in regulatory and legislative advocacy on behalf of AARP's 135,000 members in Delaware.|4/22/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Brian M.P.|McGlinchey|Director of Government Affairs|1|NA|5/2/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Bruce|Bryant|Account Manager|0|Account Manager for State, Local, and Education opportunities at CA, Inc.|4/9/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Bruce E.|Decker|Senior Vice President|0|Main responsibilities processing policy data, answer questions about DCRB.|4/3/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>277</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>277</EmployerId><LegalName>DELAWARE COMPENSATION RATING BUREAU, INC.</LegalName><AddressLine1>United Plaza Bldg., Suite 1500</AddressLine1><AddressLine2>30 South 17th Street</AddressLine2><City>Philadelphia</City><State>Pennsylvania</State><ZipCode>19103</ZipCode></Employer><EmployerId>277</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Bryan|Cochran|Attorney|0|Duties include claim attorney and legislative liaiso.|4/22/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
C. Malcolm|Cochran, IV|Lawyer|0|Am employed as a lawyer in private practice.|4/17/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1167</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1167</EmployerId><LegalName>Volunteer Hose Company of Middletown</LegalName><AddressLine1>27 W.Green Street</AddressLine1><AddressLine2/><City>Middletown</City><State>Delaware</State><ZipCode>19709</ZipCode></Employer><EmployerId>1167</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
Calvina|Fay|Executive Director|0|Executive Director of a non-profit organization whose mission is drug prevention, education and combating legalization/decriminalization of illegal substances.|4/22/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Carol|Plummer|Realtor|0|Lobbying as a part-time area of interest mostly on real estate matters.|4/9/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Carol|Post|Executive Director|0|I am the Executive Director of a non profit and have various adminstrative and managerial duties associated with my position.|5/9/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection/><LobsPOGiftsCollection/></LOBDisclosure>
Caroline|Jones|Founder & Executive Director|0|Executive Director & Founder of Kind to Kids Foundation|5/13/2013|2013|1|<LOBDisclosure><LobsEmployerExpenditureCollection><LobsEmployerExpenditure><ItemId>1009</ItemId><DisclosureId>0</DisclosureId><Employer><EmployerId>1009</EmployerId><LegalName>Kind to Kids Foundation</LegalName><AddressLine1>100 West 10th Street, Ste. 606</AddressLine1><AddressLine2>NA</AddressLine2><City>Wilmington</City><State>Delaware</State><ZipCode>19801</ZipCode></Employer><EmployerId>1009</EmployerId><FoodRefreshments>0</FoodRefreshments><Entertainment>0</Entertainment><LodgingExpenses>0</LodgingExpenses><TravelExpense>0</TravelExpense><RecreationExpense>0</RecreationExpense><GiftContributions>0</GiftContributions></LobsEmployerExpenditure></LobsEmployerExpenditureCollection><LobsPOGiftsCollection/></LOBDisclosure>
